Brand,Model,Year,Price (USD),Stock Available,Selling Method,Description,Discount%,ImageUrl,Color
Honda,Accord,2021,30000,4,Installment,"Dual-zone AC, electric seat control",7,https://platform.cstatic-images.com/xlarge/in/v2/stock_photos/c7c546b0-2fd3-4538-bb09-309e7e1de088/aed1a0bf-8cb6-48bd-b012-df5ef9c2c997.png,"Black, Red, White, Silver"
Honda,CR-V,2022,37000,5,Cash or Installment,Adaptive cruise control,3,https://s3-us-west-2.amazonaws.com/motoraty-media/newcars/listing/9673/2021-honda-cr-v-touring-awd-%D9%87%D9%88%D9%86%D8%AF%D8%A7-cr-v-1634817135.8648.jpg,"Cyan, Teal, Aqua"
Chevrolet,Malibu,2021,27000,4,Cash,"2.5L engine, sunroof",5,https://di-sitebuilder-assets.s3.amazonaws.com/GMimages/gmMLP/chevrolet/Malibu/2021/RS.jpg,"Blue, Purple, Black"
Chevrolet,Camaro,2022,38000,3,Installment,"LED lighting, 4WD",2,https://di-uploads-pod3.dealerinspire.com/coylechevybuickgmc/uploads/2021/11/2022-Chevy-Camaro-1LT-RS-Overview-Left.jpg,"Gray, Black, Navy"
Chevrolet,Tahoe,2023,55000,2,Cash or Installment,"Triple-zone AC, electric seats",4,https://di-uploads-pod1.dealerinspire.com/dalebenetchevy/uploads/2022/07/2023-Chevy-Tahoe-RST-Model-Left.jpg,"White, Silver, Beige"
Jeep,Wrangler,2019,32000,5,Cash,"Large wheels, 4WD",6,https://cdn.jdpower.com/JDPA_2019-Jeep-Wrangler-Unlimited-Silver-Front-Quarter.jpg,"Brown, Green, Gold"
Jeep,Cherokee,2021,45000,4,Installment,"Digital screen, sunroof",2,https://www.jeffdambrosiochryslerjeepdodge.com/blogs/3502/wp-content/uploads/2020/11/2021-Cherokee.jpeg,"Red, Orange, Yellow, Burgundy"
Jeep,Compass,2024,48000,2,Cash or Installment,"V6 engine, all-wheel drive system",8,https://medias.fcacanada.ca/jellies/renditions/2024/800x510/CC24_MPJL74_2DA_PXJ_APA_XXX_XXX_XXX.6f932b74bcdb3e4a8989b1290748fb60.png,"Black, Charcoal, Dark Gray"
MG,3,2025,6000,3,Cash or Installment,1.5L engine,4,https://s1.cdn.autoevolution.com/images/models/MG_3-2024_main.jpg,blue
MG,5,2025,6800,5,Cash or Installment,1.5L engine,2,"https://images.netdirector.co.uk/gforces-auto/image/upload/w_354,h_236,dpr_2.0,q_auto,c_fill,f_auto,fl_lossy/auto-client/5b9d09160fd7e1cb92c77d88a629ea55/the_front_face_1_.png",silver
MG,GT,2025,8800,2,Cash or Installment,1.5T  engine,1,"https://images.netdirector.co.uk/gforces-auto/image/upload/q_auto,c_crop,f_auto,fl_lossy,x_286,y_0,w_2714,h_1810/w_1416,h_944,c_fill/auto-client/98e27e18c56643faac2fc097b27a2de3/mggt.11.jpg",yellow
MG,7,2025,12600,1,Cash or Installment,"2.0L engine, touchscreen display",3,"https://images.netdirector.co.uk/gforces-auto/image/upload/q_auto,c_crop,f_auto,fl_lossy,x_7796,y_0,w_7826,h_5869/w_744,h_558,c_fill/auto-client/f799a328a212056335762bf9735331d5/mg_7_high_res_images_13.jpg",green
